id,title,author,updatetime,wordcount,publication,tags,content
4588948,Cuộc chạy đua phát triển thuốc trong vũ trụ,1700000078,1680598362,918,1680595200,"thuốc, tế bào gốc, thí nghiệm, trọng lực"," Trong một phòng thí nghiệm nhỏ ở tòa nhà chọc trời tại trung tâm Tel Aviv, thương gia người Israel Yossi Yamin giới thiệu những hộp nhỏ phủ pin quang năng. Suốt 4 năm qua, những hộp này liên tục được phóng lên quỹ đạo bằng tên lửa SpaceX, cung cấp hiểu biết mới về nhiều vấn đề y khoa như hành vi của tế bào bạch cầu. Là giám đốc điều hành công ty SpacePharma, Yamin là một trong những nhà tiên phong trong ngành công nghiệp mới. Ông cho biết SpacePharma đã tiến hành 7 thí nghiệm trên quỹ đạo năm ngoái và số lượng đang tăng lên. Trong tháng 4/2023, họ sẽ đưa 5 thí nghiệm vào không gian từ chăm sóc da tới thuốc kéo dài tuổi thọ và chữa bệnh về não, theo Guardian. Trọng lực Trái Đất có thể ảnh tưởng tới cách tế bào giao tiếp, khiến giới nghiên cứu vấp phải nhiều thách thức hơn khi tìm hiểu tại sao chúng lại hoạt động như vậy. Trọng lực cũng khiến việc duy trì tế bào gốc ở dạng tinh khiết và hữu dụng nhất trong thời gian dài trở nên phức tạp hơn. Các nhà khoa học cũng gặp khó khăn trong nghiên cứu cấu trúc tinh thể của protein quan trọng, ví dụ protein gắn liền với ung thư, virus, rối loạn di truyền và bệnh tim. Phát triển cấu trúc tinh thể từ đầu đóng vai trò thiết yếu trong phân tích khối u hoặc virus tiến hóa như thế nào, hoặc phát hiện những túi nhỏ có thể chứa thuốc mới. Phát triển thuốc trong không gian đã tạo ra nhiều đột phá quan trọng. Đối với công ty công nghệ sinh học MicroQuin ở Massachusetts, hàng loạt thí nghiệm trên trạm ISS trong 4 năm qua thúc đẩy sự ra đời của dòng thuốc mới dành cho ung thư tử cung và ung thư vú, cũng như chấn thương sọ não, bệnh Parkinson, thậm chí bệnh cúm, dựa trên họ protein có tên TMBIM. Từ lâu, các nhà khoa học nhắm vào TMBIM bởi chúng góp phần điều phối môi trường bên trong tế bào. Ở bệnh ung thư và thoái hóa thần kinh, môi trường này trở nên độc hại. Protein TMBIM có thể được sử dụng để đảo ngược thay đổi nếu giới nghiên cứu biết cách điều khiển chúng. Trong khi trọng lực khiến TMBIM cực khó kết tinh trên Trái Đất, MicroQuin có thể làm được điều này trong vũ trụ. ""Tiềm năng rất đáng chú ý"", Scott Robinson, nhà sáng lập kiêm giám đốc điều hành MicroQuin, cho biết. ""Bệnh cúm là một ví dụ tốt vì khi robot tiến vào trong tế bào, nó thay đổi toàn bộ môi trường thành tính oxy hóa cao. Nhưng nếu ngăn chặn thay đổi đó bằng TMBIM, bạn có thể ngừng hoàn toàn lây nhiễm cúm. Nó cũng có thể dùng như liệu pháp kết hợp với tế bào ung thư nhạy cảm"". Trong những năm tới, vũ trụ cũng có thể thay đổi một lĩnh vực y khoa khác. Tế bào gốc được dự đoán sẽ phát triển trong kỷ nguyên y học tái tạo, giúp phục hồi cơ quan nội tạng bị tổn thương, mang đến hy vọng cho người bị suy tim hoặc suy gan. Tuy nhiên, cho tới nay, các nhà khoa học vẫn gặp khó khăn trong phát triển cách điều trị khả thi. Quá trình tốn kém và không hiệu quả, trong một triệu tế bào gốc phát triển, chỉ có khoảng 100 tế bào có thể lập trình thành công thành tế bào mô tim hoặc gan. Nhưng tế bào phát triển không hợp nhất tốt khi cấy vào cơ thể. Clive Svendsen, giám đốc điều hành viện y học tái tạo tại Ceders-Sinai ở Los Angeles và cộng sự đang thực hiện một loạt thí nghiệm hợp tác với NASA. Túi tế bào gốc được chở lên trạm ISS. Các nhà nghiên cứu có thể quan sát chúng phát triển qua video từ xa. Những dấu hiệu ban đầu cho thấy chúng dường như phát triển tốt hơn trên Trái Đất, dấy lên hy vọng trong tương lai, liệu pháp dựa trên tế bào gốc có thể ra đời trong vũ trụ. Vấn đề chính khi nghiên cứu trong vũ trụ là kinh phí. Chi phí cho một thí nghiệm trên trạm ISS và đưa trở về Trái Đất là 7,5 triệu USD. Đây cũng là lĩnh vực có tính cạnh tranh cao bởi hàng nghìn nhà khoa học trên thế giới muốn làm thí nghiệm trên quỹ đạo. Nhưng nghiên cứu trong vũ trụ đang chuyển dần sang khối tư nhân. NASA thông báo đóng cửa trạm ISS vào cuối năm 2030 và công ty Axiom Space ở Houston sẽ thay thế ISS bằng trạm vũ trụ thương mại đầu tiên trên thế giới. Svendsen dự đoán điều này sẽ tạo thêm cơ hội cho các nhà nghiên cứu và công ty dược phẩm. SpacePharma và nhiều công ty tư nhân khác như Ice Cubes đang tiến tới thực hiện nghiên cứu y khoa trong vũ trụ thông qua thí nghiệm tự động, phóng lên quỹ đạo thấp của Trái Đất bằng tên lửa, qua đó loại bỏ nhu cầu về trạm vũ trụ và cắt giảm chi phí. An Khang (Theo Guardian)"
4589057,NASA công bố phi hành đoàn bay tới Mặt Trăng năm 2024,1700000078,1680581656,656,1680579543,"phi hành gia, artemis ii, nasa"," Các phi hành gia được lựa chọn cho nhiệm vụ Artemis II bao gồm phi hành gia Reid Wiseman, Victor Glover, Christina Koch của NASA và Jeremy Hansen của Cơ quan Vũ trụ Canada. Wiseman là phi công hải quân và lái thử 47 tuổi. NASA lần đầu lựa chọn ông để trở thành phi hành gia vào năm 2009. Đến từ Baltimore, Maryland, Wiseman từng tham gia chuyến bay 165 ngày tới Trạm Vũ trụ Quốc tế, phóng trên tên lửa Soyuz của Nga vào năm 2014. Gần đây nhất, Wiseman là trưởng văn phòng phi hành gia của NASA từ năm 2020 đến năm 2022. Ông sẽ là chỉ huy nhiệm vụ Artemis II. Glover là phi công hải quân 46 tuổi trở về Trái Đất từ chuyến bay vào vũ trụ đầu tiên năm 2021 sau khi điều khiển tàu vũ trụ Crew Dragon của SpaceX và trải qua gần 6 tháng trên trạm ISS. Ông sinh tại Pomona, California, từng phục vụ trong các quân đoàn ở Mỹ và Nhật Bản vào những năm 2000. Glover đã hoàn thành huấn luyện phi công lái thử trong Không quân Mỹ. Koch, 44 tuổi, là phi hành gia kỳ cựu với 6 chuyến đi bộ không gian, bao gồm chuyến đi bộ không gian toàn nữ đầu tiên vào năm 2019. Bà giữ kỷ lục bay vào vũ trụ lâu nhất dành cho nữ với tổng cộng 328 ngày trong không gian. Koch cũng là kỹ sư điện giúp phát triển thiết bị khoa học cho nhiều nhiệm vụ của NASA. Đến từ Grand Rapids, Michigan, bà đã dành một năm ở Nam Cực để chuẩn bị cho nhiệm vụ Mặt Trăng. Hansen, 47 tuổi, là phi công tiêm kích do Cơ quan Vũ trụ Canada lựa chọn để đào tạo phi hành gia vào năm 2009. Sinh tại London, Ontario, Hansen là một trong 4 phi hành gia Canada đang hoạt động. Ông sẽ trở thành người Canada đầu tiên bay vào không gian sâu. Nhiệm vụ Artemis II mission sẽ dựa trên Artemis I, nhiệm vụ thử nghiệm không người lái trong đó tàu Orion của NASA thực hiện chuyến bay 2,3 triệu km vòng quanh Mặt Trăng, kết thúc vào tháng 12 năm ngoái. NASA tuyên bố nhiệm vụ Artemis I thành công và vẫn đang phân tích mọi dữ liệu thu thập được. Nếu tất cả theo đúng kế hoạch, Artemis II sẽ cất cánh vào tháng 11/2024. Phi hành đoàn ngồi trong tàu Orion sẽ phóng bằng tên lửa Hệ thống phóng không gian do NASA phát triển từ Trung tâm Vũ trụ Kennedy của NASA. Chuyến bay dự kiến kéo dài khoảng 10 ngày sẽ đưa phi hành đoàn bay quá Mặt Trăng, có thể xa hơn bất kỳ nhà du hành nào trong lịch sử, nhưng khoảng cách chính xác chưa được quyết định. Theo phát ngôn viên Kathryn Hambleton của NASA, quãng đường sẽ phụ thuộc vào ngày cất cánh và khoảng cách tương đối giữa Mặt Trăng và Trái Đất vào thời điểm nhiệm vụ diễn ra. Sau khi bay vòng quanh Mặt Trăng, tàu vũ trụ sẽ trở lại Trái Đất và đáp xuống Thái Bình Dương. Artemis II sẽ mở đường cho nhiệm vụ Artemis III vào cuối thập kỷ này, trong đó NASA sẽ đưa phi hành gia nữ và người da màu đầu tiên lên bề mặt Mặt Trăng. Đây cũng là nhiệm vụ đánh dấu lần đầu tiên con người hạ cánh xuống Mặt Trăng từ khi chương trình Apollo kết thúc vào năm 1972. Tuy nhiên, nhiều công nghệ cần thiết cho nhiệm vụ như bộ đồ di chuyển trên Mặt Trăng và trạm đổ bộ chở phi hành gia vẫn đang trong quá trình phát triển. An Khang (Theo CNN)"
4588619,Trung Quốc thử nghiệm hệ thống nâng tàu lơ lửng trên đường ray,1700000243,1680573677,2,1680570000,"trung quốc, tàu đệm từ, thử nghiệm, đường ray, công nghệ trung quốc, tàu cao tốc trung quốc, đường sắt trung quốc", Video: CGTN
4588622,Kính viễn vọng vô tuyến Mặt Trời lớn nhất thế giới,1700000248,1680588008,2,1680566400,"sao xung, trung quốc, khoa học trung quốc, cao nguyên thanh tạng, kính viễn vọng vô tuyến, lớn nhất thế giới, kính viễn vọng vô tuyến mặt trời", Video: CGTN
4588909,Giãn cơ khiến cơ bắp thay đổi như thế nào,1700000078,1680559207,4,1680541200,"cơ bắp, giãn cơ", Đồ họa: Malachy McHugh
4588889,Biến cây chuối thành sợi dệt và tóc giả,1700000248,1680559209,3,1680526800,"uganda, chuối, thân chuối, quả chuối, sợi chuối, dệt sợi chuối", Video: Business Insider
4588623,Vùng đất Trung Quốc có trữ lượng vàng khổng lồ,1700000243,1680566408,742,1680523200,"sơn đông, trung quốc, mỏ vàng, khai thác vàng, đào vàng, động đất, địa chất"," Giữa tháng 3, tỉnh Sơn Đông phát hiện mỏ vàng với trữ lượng khoảng 50 tấn, có thể bán với giá khoảng 3 tỷ USD theo giá hiện tại. Mỏ này nằm ở vùng nông thôn thành phố Nhũ Sơn, phía đông của tỉnh. Mỏ bao phủ một khu vực rộng lớn, các quặng cũng dễ khai thác và đẽo gọt, theo Cơ quan Địa chất và Tài nguyên Khoáng sản tỉnh Sơn Đông. ""Những người thăm dò đã khoan hơn 250 lỗ sâu tới 1.400 m để tìm thấy mỏ"", Zhou Mingling, phó trưởng Đoàn Địa chất số 6 tại cơ quan này cho biết. Không giống nhiều vật liệu giá trị khác, ví dụ như kim cương, người ta chưa thể thể tạo ra vàng bằng biện pháp nhân tạo và thiết thực. Đó là một trong những lý do khiến vàng có giá trị lớn. Các nhà khoa học đã tìm ra một số cách chế tạo vàng, nhưng chúng không hiệu quả về mặt chi phí để ứng dụng thực tế. Vì vậy, gần như toàn bộ vàng trên thị trường đều bắt nguồn từ hoạt động khai thác hoặc tái chế. Vậy vàng tự nhiên trong các mỏ đến từ đâu? Giới chuyên gia chưa rõ đáp án chính xác nhưng đã đưa ra nhiều giả thuyết. Một giả thuyết phổ biến là vàng bắt nguồn từ vụ va chạm giữa hai sao neutron, giải phóng một lượng năng lượng thiên văn đủ để tạo ra vàng. Không phải mọi nơi đều có trữ lượng vàng như nhau. Một thị trấn có thể gần như không chứa vàng, trong khi thị trấn lân cận lại sở hữu trữ lượng khổng lồ. Theo Zhu Yongfeng, giáo sư tại Viện Địa hóa học, Đại học Bắc Kinh, hơn 100 giả thuyết đã được đưa ra để giải thích sự phân bố của vàng trong ba thập kỷ qua. ""Đa số lý thuyết đều chỉ tồn tại trong thời gian ngắn. Một số đã được chứng minh là hoàn toàn sai"", CGTN hôm 2/4 dẫn lời Yongfeng. Ông cho biết, những cơn sốt tìm vàng lan từ nơi này sang nơi khác trong vài thập kỷ qua, nhưng không có nhiều lý thuyết hữu ích để thực sự tìm thấy vàng. Một trong số ít giả thuyết khả dĩ là trữ lượng vàng thường xuyên được phát hiện gần vành đai động đất, vì các hoạt động núi lửa và magma có thể khiến vàng tập trung ở một số khu vực cụ thể. Sơn Đông rất giàu tài nguyên vàng với sản lượng lớn hơn bất cứ tỉnh nào khác ở Trung Quốc trong 4 thập kỷ qua. Tỉnh này nằm dọc theo đường đi của vành đai động đất lớn nhất thế giới - vành đai địa chấn vòng quanh Thái Bình Dương, còn gọi là ""Vành đai lửa"". Nhưng điều đó không đủ để giải thích trữ lượng vàng lớn của tỉnh này, đặc biệt là ở bán đảo Giao Đông, phía đông Sơn Đông, vì Vành đai lửa trải dài theo vành đai của toàn bộ Thái Bình Dương. Bán đảo Giao Đông còn có đặc trưng là cấu trúc địa chất phức tạp, bao gồm các đứt gãy và nếp uốn, tạo điều kiện thuận lợi cho mỏ vàng hình thành. Suốt hàng triệu năm, khu vực này trải qua những hoạt động kiến tạo dữ dội, ""đẩy"" các mỏ vàng sâu dưới lòng đất lên gần bề mặt. Hoạt động khai thác vàng ở Giao Đông tồn tại hơn 2.000 năm và người dân địa phương đã phát triển những kỹ thuật khai thác tiên tiến. Giao Đông là địa điểm khai thác vàng lớn thứ ba thế giới, theo dữ liệu mà chính quyền địa phương công bố cuối năm 2020. Tính đến năm 2021, tỉnh Sơn Đông ước tính chứa tới khoảng 4.500 tấn trong tổng số 63.000 tấn vàng chưa khai thác của thế giới. Như vậy, mỏ vàng 50 tấn mới phát hiện chỉ chiếm hơn 1% tổng trữ lượng vàng tiềm năng của tỉnh. Với sự phát triển của công nghệ, có thể các chuyên gia sẽ tìm thấy nhiều vàng hơn ở Sơn Đông trong tương lai. Thu Thảo (Theo CGTN)"
4588718,30 dự án vào chung kết Sáng kiến Khoa học 2023,1236106530,1680559210,1177,1680512414,"sáng kiến khoa học 2023, chung kết, khoa học, cuộc thi sáng kiến khoa học"," 1. Hệ thống bãi đỗ xe thông minh Dự án của nhóm ICTU-FECT, Khoa Công nghệ điện tử và Truyền thông, Trường Đại học công nghệ thông tin và truyền thông Thái Nguyên, đề xuất phần mềm quản lý hệ thống bãi đỗ xe, ứng dụng đặt chỗ thông minh giúp người dùng chủ động trong việc gửi xe. Sản phẩm dựa trên công nghệ vạn vật kết nối Internet (IoT) và điện toán đám mây, lưu trữ trên dữ liệu lớn Cloud Computing, giúp kiểm soát được số lượng xe trong bãi đỗ. 2. Sản xuất tơ sợi từ lá cây lưỡi hổ để làm tóc giả và một số sản phẩm thủ công thân thiện với môi trường thay thế tơ sợi nilon tổng hợp Chế tạo tơ sợi tự nhiên từ lá cây lưỡi hổ, Trần Thị Quỳnh (18 tuổi), THPT Mường Nhé, huyện Mường Nhé, tỉnh Điện Biên, sử dụng làm tóc giả, có độ bền cao, màu sắc đa dạng, khả năng chịu nhiệt tốt, dễ dàng thay đổi kiểu dáng. Các sợi tơ còn có thể dùng làm chổi cọ trang điểm, dây thừng, sợi đan giỏ, đan lưới... 3. Tủ nuôi trồng nấm thảo dược đông trùng hạ thảo quy mô hộ gia đình Tủ nuôi trồng nấm thảo dược tự động của Khoa Công nghệ Nhiệt Lạnh, Trường Đại học Công nghiệp TP HCM, kiểm soát được nhiệt độ môi trường nuôi trồng, độ ẩm tương đối, độ sáng, độ tối trong quá trình nuôi và đối lưu được không khí nhằm phù hợp với môi trường sinh trưởng của đông trùng hạ thảo. 4. Sản xuất và mô tả đặc tính của chất hấp thụ sinh học xanh dựa trên các hạt nano từ tính từ lõi ngô đã biến đổi Từ phế thải lõi ngô, Đỗ Văn Trương (23 tuổi), Tiên Lãng, Hải Phòng đưa ra vật liệu hấp thụ sinh học xanh nhằm loại bỏ Cr(VI) khỏi nước thải công nghiệp. Chất hấp thụ sinh học được phủ bằng các hạt nano từ tính để tăng cường khả năng hấp phụ, có thể tái tạo, rẻ tiền và tiêu thụ năng lượng thấp. 5. Máy làm cỏ thạch Sản phẩm của tác giả Hoàng Đức Chính, trường THCS Đề Thám, huyện Tràng Định tỉnh Lạng Sơn hỗ trợ người nông dân rút ngắn thời gian từ 2 đến 3 lần so với việc làm cỏ truyền thống bằng tay, cuốc. 6. Hợp chất Curcumin trên nền vật liệu MOF ứng dụng trong lĩnh vực y sinh Nhóm nghiên cứu Vật liệu Hóa, Sinh và Môi trường, Đại học Quốc gia TP HCM đưa ra công trình ứng dụng vật liệu nano CUR@MOF trong nghiên cứu chẩn đoán và điều trị bệnh Alzheimer và độc tố thần kinh gây ra bởi fluoride. Hệ vật liệu hoạt động thông qua quan sát hình ảnh huỳnh quang của vật liệu, sự tương tác giữa các tác nhân kim loại hay hoạt động chuyển hóa của curcumin với các mảng Aβ giúp cho quá trình chẩn đoán và điều trị bệnh. 7. Hệ thống chăm sóc cây chè ứng dụng công nghệ cao  Dự án đang được triển khai ứng dụng cho mô hình chăm sóc chè tại xã Phú Đình, huyện Định Hóa, tỉnh Thái Nguyên, do Trường Đại học Công nghệ thông tin và truyền thông Thái Nguyên và Trường Đại học Nông lâm Thái Nguyên triển khai. 8. Ứng dụng hỗ trợ chăm sóc y tế cộng đồng và chia sẻ - Healcare Network Nhóm nghiên cứu từ Đại học FPT, Đại học Cần Thơ, Đại học Quốc tế, ĐHQG TP HCM phát triển ứng dụng nhằm hỗ trợ người dân, đặc biệt là dân nghèo có cơ hội được cứu chữa nhanh chóng hơn, tận dụng sự phổ biến của xu thế chuyển đổi số tại Việt Nam trong quá trình xây dựng hệ thống. 9. Thiết bị dẫn đường phẫu thuật cá thể hóa trong mổ thay khớp gối toàn phần Nghiên cứu do nhóm 3D LAB VINUNI, Trung tâm công nghệ 3D trong Y học - Đại học VinUni phát triển, theo đó sẽ dựa vào PSI để đặt các khay cắt xương trong mổ như mong muốn, từ đó có thể giúp cải thiện độ chính xác vị trí đặt khớp nhân tạo. Nhóm đã tính toán và in 3D tạo ra PSI, kết hợp lên kế hoạch phẫu thuật cụ thể từ trước cho từng bệnh nhân với tổng số 35 ca thay khớp gối toàn phần ứng dụng công nghệ in 3D thiết bị dẫn đường phẫu thuật cá thể hóa dựa trên trục cơ học của bệnh nhân. 10. Hệ thống xử lý nước thải mới cho trang trại nuôi tôm Hệ thống này có khả năng lọc nước thải với cường độ cao để giảm thiểu chất rắn lơ lửng, đảm bảo chất lượng nước trong ao tôm và tiết kiệm năng lượng. Dự án do Trường Bách khoa, Trường Đại học Cần Thơ phát triển. 11. Thiết bị báo cháy Sản phẩm giúp báo kịp thời những thông tin về vụ cháy, có thể hoạt động ngay khi mất điện, do nhóm học sinh trường THCS thị trấn Mường Chà, Điện Biên đề xuất. 12. Thiết bị phòng chống, khắc phục tai nạn rò rỉ khí gas Sản phẩm của tác giả Vi Hùng Sơn, đến từ Lạng Sơn, nhằm phát hiện khí gas: tự động gọi điện, kêu còi cảnh báo và đóng nguồn gas triệt để khi phát hiện rò rỉ khí gas và phát hiện người dùng quên tắt bếp 13. Thiết bị phun thuốc bảo vệ thực vật bằng hệ thống cáp treo di động Sản phẩm của tác giả Đinh Văn Trung là thiết bị dùng để phun thuốc bảo vệ thực vật bằng hệ thống cáp treo nhằm bảo vệ sức khỏe cho con người và phục vụ cho việc phát triển nông nghiệp, công nghiệp. 14. TIR lens mới cho đèn LED công suất cao với giá thành thấp và chiếu sáng đồng đều Công nghệ TIR lens mới giúp tăng đồng dạng màu ánh sáng trắng, nghĩa là lens mới có thể phân bố lại bức xạ ánh sáng xanh và bức xạ ánh sáng vàng, từ đó nâng cao chất lượng màu ánh sáng trắng. Nhóm nhà khoa học từ Khoa Điện-Điện tử, trường Đại học Tôn Đức Thắng đã nghiên cứu thay đổi sự phân bố đèn; khảo sát sự thay đổi màu sắc; hoặc độ rọi của đèn nhằm tăng hiệu quả chiếu sáng và giảm chi phí vận hành, giúp sử dụng đơn giản và áp dụng rộng rãi. Sáng kiến TIR lens mới nhận được Bằng sáng chế USPTO (Mỹ). 15. Máy gieo, thả hạt đa năng sử dụng nguồn năng lượng mặt trời  Sản phẩm giúp giảm nhân công lao động, chi phí cho nhiều loại máy móc nâng cao năng suất cây trồng, do tác giả Bùi Minh Tú phát triển. Xem tiếp Như Quỳnh"
4588792,Bão vũ trụ có thể làm nhiễu tín hiệu tàu hỏa,1700000078,1680512731,363,1680509147,"bão vũ trụ, bão địa từ, tín hiệu, tàu hỏa"," Đường ray phát hiện tàu bằng dòng điện và phát tín hiệu dừng cho tàu khác để tránh va chạm. Nhưng khi từ trường Trái Đất bị rối loạn, đường ray có thể gửi sai tín hiệu dừng hoặc chạy, ảnh hưởng tới vận hành, có khả năng gây nguy hiểm cho người và hàng hóa trên tàu. Nhà nghiên cứu C. J. Patterson ở khoa Vật lý của Đại học Lancaster và cộng sự phát triển một mô hình nhằm kiểm tra bão địa từ cần mạnh tới đâu để tác động tới đường ray và mức độ ảnh hưởng thường xuyên. Mô hình mô phỏng quá trình bão vũ trụ gây nhiễu tín hiệu điện, dựa trên hai đường ray thực tế ở Anh với hướng chạy và địa lý khác nhau. Nhóm nghiên cứu công bố phát hiện trên tạp chí Space Weather, Phys.org hôm 31/3 đưa tin. Các chuyên gia nhận thấy dọc theo cả hai đường ray mô hình, một cơn bão vũ trụ đủ mạnh để ảnh hưởng tới tín hiệu đường ray xảy ra 30 năm một lần. Cơn bão mạnh hơn xảy ra 100 năm/lần có thể gây nhiễu gần như tất cả tín hiệu dọc hai đường ray. Phát hiện có thể giúp những nhà khoa học và nhà vận hành đánh giá nguy cơ tàu hỏa gặp phải trước rối loạn do bão địa từ gây ra. Hồi tháng 7/1982, tín hiệu tàu hỏa ở Thụy Điển bị lỗi và chuyển thành màu đỏ. Thủ phạm được cho là một cơn bão vũ trụ ở cách 150 triệu km. Những vụ nổ trên Mặt Trời có thể làm gián đoạn từ trường Trái Đất. Chúng bắn lượng lớn vật chất từ hóa về phía Trái Đất. Bão vũ trụ hay bão địa từ xảy ra khi luồng vật liệu này làm xáo trộn từ trường của hành tinh, tạo ra dòng điện trên bề mặt Trái Đất, phá hủy đường dây điện, đường ống, đường ray và nhiều cơ sở vật chất khác. An Khang (Theo Phys.org)"
4588616,Phà hydro lỏng đầu tiên trên thế giới đi vào hoạt động,1700000243,1680509724,364,1680506700,"phà, hydro lỏng, na uy"," Công ty Na Uy Norled đã thử nghiệm hệ thống trên phà MF Hydra từ đầu năm. ""Sau nhiều công đoạn phát triển và thử nghiệm, giờ đây chúng tôi rất mong được chào đón hành khách trên hành trình không phát thải giữa Hjelmeland và Nesvik"", Erlend Hovland, giám đốc công nghệ của công ty Na Uy Norled, cho biết. MF Hydra sẽ hoạt động tại Na Uy, trên tuyến đường tam giác giữa Hjelmeland, Skipavik và Nesvik. Chiếc phà dài 82,4 m, xuất xưởng vào năm 2021, có thể chở tới 300 hành khách và 80 phương tiện. Nó có thể di chuyển với tốc độ 16,7 km/h nhờ hai khối pin nhiên liệu 200 kW, hai máy phát điện 440 kW và hai động cơ đẩy Shottel. Phà có một bể chứa hydro 80 m3, giúp nó giảm tới 95% lượng khí thải carbon hàng năm. Norled làm việc với một số đối tác nước ngoài để đạt được cột mốc quan trọng này. Các hệ thống hydro trên tàu do công ty Linde Engineering của Đức cung cấp. Trong khi đó, công ty Ballard của Đan Mạch sáng chế pin nhiên liệu sử dụng hydro để tạo ra năng lượng. Quá trình trang bị và hoàn thiện con tàu do các công ty Na Uy SEAM và Westcon phụ trách. Việc tự động hóa cho hệ thống hydro cũng do SEAM đảm nhận. ""Việc chúng ta, các doanh nghiệp và chính quyền, cùng làm việc để thúc đẩy phát triển công nghệ mới sẽ mang lại cho Na Uy lợi thế cạnh tranh và có thể tạo nền tảng cho những công việc mới, đồng thời khiến việc lao động trong ngành hàng hải trở nên thú vị hơn"", Knut Arild Hareide, tổng giám đốc bộ phận Vận tải và Hàng hải thuộc Cơ quan Hàng hải Na Uy, cho biết. Hiện nay, chỉ có Norled và ngành công nghiệp vũ trụ đang sử dụng hydro lỏng làm nhiên liệu. Do đó, việc MF Hydra đi vào hoạt động là một bước tiến công nghệ quan trọng cho lĩnh vực hàng hải, theo Norled. Thu Thảo (Theo Interesting Engineering)"
