id,title,author,updatetime,wordcount,publication,tags,content
4589322,Lý do một số người có thể sống trên 100 tuổi,1700000431,1680598709,454,1680595386,"sống thọ, sức khỏe tuổi già, mỹ, hệ miễn dịch"," Nghiên cứu do các chuyên gia tại Đại học Boston và Trung tâm Y tế Tufts thực hiện, công bố trên tạp chí Lancet, ngày 1/4. Tác giả chính Tanya Karagiannis, nhà sinh học cấp cao tại Trung tâm Phương pháp Định lượng và Khoa học Dữ liệu tại Viện Nghiên cứu Chính sách Y tế, cho biết công trình ủng hộ giả thuyết người sống trên 100 tuổi có các yếu tố cơ thể giúp họ khỏi bệnh nhanh chóng, sống khỏe mạnh khi đã già. Thông thường, hệ miễn dịch tiếp xúc với các virus, vi khuẩn gây bệnh, phục hồi và học cách thích nghi với chúng trong tương lai. Khả năng phản ứng với nhiễm trùng của hệ thống này suy giảm theo tuổi tác. Tuy nhiên, các nhà khoa học đưa ra giả thuyết, hệ miễn dịch của những người sống đến hơn 100 tuổi suy yếu ít hơn, từ đó khiến họ vượt qua bệnh tật một cách dễ dàng hơn. Để chứng minh luận điểm này, các chuyên gia đã phân tích tế bào miễn dịch trong máu từ 7 tình nguyện viên hơn 100 tuổi ở Bắc Mỹ. Từ đó, họ xác định mô hình lão hóa đặc hiệu và tuổi thọ của con người. Tiếp đến, họ so sánh thông tin này với dữ liệu của những người khác, có tuổi thọ gần mức trung bình và nhận thấy mô hình miễn dịch của người hơn 100 tuổi không tuân theo trình tự lão hóa tự nhiên. ""Phát hiện này hỗ trợ cho giả thuyết rằng người sống trăm tuổi có những yếu tố bảo vệ cơ thể, giúp tăng khả năng phục hồi sau khi mắc bệnh hoặc bị nhiễm trùng"", tác giả Paola Sebastiani, giám đốc Trung tâm Phương pháp Định lượng và Khoa học Dữ liệu và Viện Nghiên cứu Lâm sàng và Chính sách Y tế, cho biết. Theo Stefano Monti, phó giáo sư y khoa, thống kê sinh học và tin sinh học, Đại học Boston, hiện chưa rõ khả năng miễn dịch độc đáo này là do di truyền hay kết hợp từ các yếu tố bên ngoài. Các nhà khoa học hy vọng kết quả nghiên cứu có thể là tiền đề phát triển những phương pháp trị liệu y tế dành cho dân số già trên thế giới. ""Những người sống trăm tuổi cung cấp 'phác đồ chi tiết' về phương pháp sống khỏe và lâu hơn"", George J. Murphy, phó giáo sư y khoa tại trường y của Đại học Boston, cho biết. Thục Linh (Theo USA Today)"
4589292,Ngưng tim ngưng thở sau ăn so biển,1700000323,1680595388,461,1680593310,"quảng ninh, so biển, ngộ độc thực phẩm, sam biển"," Ngày 4/4, Bác sĩ Hà Mạnh Hùng, Trưởng khoa Hồi sức Tích cực, Bệnh viện Đa khoa tỉnh Quảng Ninh, cho biết khi được đưa đến cấp cứu tại cơ sở y tế địa phương, bệnh nhân nôn mửa, khó nói, liệt chi, sau đó bất ngờ ngừng tuần hoàn (ngưng tim, ngưng thở). Kíp trực hô hấp tích cực, sau khoảng 3 phút tái lập tuần hoàn tự nhiên. Người bệnh được đặt ống nội khí quản, bóp bóng oxy, duy trì thuốc vận mạch và chuyển Bệnh viện Đa khoa tỉnh. Tại khoa Hồi sức Tích cực, người đàn ông được rửa dạ dày, dùng các thuốc hạn chế hấp thu độc tố (than hoạt tính và sorbitol), thở máy, kiểm soát cân bằng dịch và điện giải, theo dõi huyết áp liên tục. Sau một tuần điều trị, người bệnh tỉnh táo, sức khỏe ổn định. Anh cho biết bản thân là dân thuyền chài, trước đó từng bắt và ăn so biển vài lần, tình trạng bình thường. ""Lần này, bệnh nhân có thể bị ngộ độc do khâu chế biến không đảm bảo, độc tố còn lưu, dẫn đến tình trạng trên"", bác sĩ Hùng nói. Con so là loài có chứa độc tố, hay bị nhầm với sam biển, khi ăn có thể gây ngộ độc chết người. Bác sĩ Hùng nhận định nhiều người biết, song vẫn chủ quan ăn, dẫn tới nguy hiểm tính mạng. Chất độc giết người trong loài so biển là tetrodotoxin, tập trung nhiều ở trứng, gan, mật, ruột, tác động thần kinh trung ương, có khả năng gây liệt cơ, đặc biệt cơ hô hấp. Đáng chú ý là độc tính này không bị phá hủy bởi nhiệt, vì vậy, dù có nấu chín, đun sôi, người ăn vẫn có nguy cơ ngộ độc cao."
4589273,Sốc phản vệ sau chầu nhậu,1700000373,1680597707,256,1680591600,"phú thọ, sốc phản vệ, uống rượu"," Ngày 4/4, các bác sĩ Bệnh viện đa khoa Hùng Vương, cho biết bệnh nhân bị viêm góc hồi manh tràng, điều trị nội trú với phác đồ kháng sinh. Hai ngày sau khi được ra viện, anh thấy khỏe mạnh, sinh hoạt bình thường nên đã sử dụng rượu. Sau khi uống (không rõ số lượng), bệnh nhân bị hoa mắt, chóng mặt, tức ngực, khó thở, buồn nôn. Triệu chứng tăng dần, người bệnh đỏ da mặt và ngực bụng, rét run, được người nhà đưa đến Bệnh viện đa khoa Hùng Vương cấp cứu. Bác sĩ chẩn đoán bệnh nhân phản vệ mức độ nặng, nguyên nhân có thể do cơ thể chưa hồi phục hoàn toàn, lại đang điều trị kháng sinh. Người bệnh được tiêm ba ống adrenalin, hiện chuyển sang khoa Hồi sức Cấp cứu theo dõi. Sốc phản vệ là một phản ứng dị ứng nguy hiểm, có thể đe dọa tính mạng người bệnh, xảy ra trong vòng vài giây hoặc vài phút sau khi tiếp xúc dị nguyên. Tình trạng này có thể gặp mọi lứa tuổi, mọi trường hợp và không chỉ do dùng thuốc, có thể do thức ăn (tôm, cua, ghẹ, côn trùng), côn trùng đốt, tiếp xúc chất lạ. Bác sĩ khuyến cáo bệnh nhân trong giai đoạn điều trị kháng sinh và sau khi ra viện không nên sử dụng rượu bia. Khi cơ thể có những biểu hiện bất thường, cần đến cơ sở y tế gần nhất để được hỗ trợ kịp thời. Minh An"
4589170,Cách trị nghẹt mũi cho trẻ nhỏ,1700000432,1680597751,694,1680596100,"nghẹt mũi, cúm, cảm lạnh, trẻ em"," Đối với trẻ dưới 3 tuổi, việc trị nghẹt mũi có thể khó khăn, nguyên nhân gây bệnh không rõ ràng. Bé có thể bị cảm lạnh, hoặc nghẹt mũi là phản ứng cơ thể do bắt đầu xây dựng hệ miễn dịch với các loại virus thông thường. Trẻ nhỏ không được dùng thuốc cảm để trị bệnh vì có thể chịu các tác dụng phụ. Trong khi đó, nghẹt mũi khiến trẻ khó ngủ, có thể gây nhiễm trùng xoang, khó khăn khi bú do hơi thở tắc nghẽn. Có một số cách điều trị cha mẹ có thể làm tại nhà. Đầu tiên, hãy xem chẩn đoán của bác sĩ để tìm hiểu nguyên nhân gây nghẹt mũi. Cha mẹ không nên tự quan sát tình trạng của con rồi kết luận trẻ mắc bệnh gì, tránh tự can thiệp vào đường thở của trẻ. Nếu bé chưa được khám, cha mẹ có thể hút chất nhầy ở mũi của trẻ bằng cách xịt nước muối sinh lý hoặc thuốc nhỏ mũi. Mỗi bên mũi nhỏ hai giọt để làm lỏng chất nhầy bên trong. Sau đó, dùng bóng hút để rút nước muối và chất nhầy. Hãy bóp bóng trước khi đặt vào mũi trẻ. Nếu bạn bóp bóng sau khi đặt vào lỗ mũi, bóng sẽ tạo luồng khí đẩy chất nhầy vào sâu hơn trong khoang mũi. Trẻ nên được hút chất nhầy trong mũi khoảng 15 phút trước khi ăn và trước khi ngủ. Cách này giúp trẻ bú mẹ, bú bình hoặc ngủ tốt hơn. Gia đình cần lựa chọn các dung dịch nước muối sinh lý không chứa thuốc để dùng cho bé, đảm bảo rửa sạch và lau khô công cụ hút mũi sau mỗi lần sử dụng. Bên cạnh đó, mọi người có thể sử dụng máy hóa hơi hoặc máy tạo độ ẩm sương mát lạnh trong phòng của bé, máy để xa tầm tay của trẻ song cần đủ gần để hơi nước làm ẩm đường thở của bé khi ngủ hoặc khi chơi đùa. Cha mẹ cần vệ sinh máy hàng ngày như thay nước, làm sạch và khô bộ hóa hơi để tránh nấm mốc, vi khuẩn. Cha mẹ không dùng nước nóng cho máy làm ẩm vì có thể gây bỏng. Trẻ cũng cần được tắm, vệ sinh cơ thể trong vài phút để cảm thấy dễ chịu hơn. Khi ngủ, gia đình có thể đặt một chiếc gối mềm dưới đệm, sao cho đầu của bé cao hơn chân một chút. Tư thế này có giúp chất nhầy thoát ra khỏi xoang, trẻ thở dễ hơn. Cách này không áp dụng cho trẻ còn nằm cũi, nhỏ hơn 2 tuổi, do có nhiều nguy cơ gây hội chứng đột tử ở trẻ sơ sinh. Gia đình nên khuyến khích con uống nhiều nước hơn. Chất lỏng giúp làm loãng chất nhầy, song tránh ép trẻ uống nước. Nếu con đủ lớn, hãy dạy trẻ cách xì mũi: đặt khăn giấy cạnh lỗ mũi để bé tập thở, khi thở mạnh ra bằng mũi, không khí di chuyển làm khăn giấy di động. Vỗ nhẹ vào lưng bé cũng có thể giúp giảm tắc mũi. Cha mẹ đặt bé nằm ngang trên đầu gối của mình rồi nhẹ nhàng vỗ lưng bằng bàn tay. Đôi khi, không phải cứ ngạt mũi, sổ mũi mới cần điều trị. Nếu các triệu chứng không ảnh hưởng tới em bé, cha mẹ không cần quá lo lắng. Cha mẹ nên chờ đợi và theo dõi sát tình trạng cơ thể của bé nếu con hoạt động và ăn uống bình thường. Không cho trẻ em dưới 4 tuổi uống thuốc ho và cảm lạnh. Nếu trẻ từ 4 đến 6 tuổi, hãy hỏi bác sĩ về những loại thuốc có thể sử dụng. Nếu cha mẹ lo lắng về tình trạng nghẹt mũi hoặc bé bị sốt hoặc ho, thở gấp, lồng ngực rút lõm, hãy đưa bé đi khám. Cảm lạnh ở trẻ có thể nghiêm trọng hơn viêm thanh khí phế quản hoặc viêm phổi. Chi Lê (Theo WebMD)"
4589168,Phát hiện u não sau dấu hiệu mất thăng bằng,1700000137,1680592583,391,1680590794,"u não, thanh hóa, mất thăng bằng, đau đầu, tầm soát ung thư, khám sức khỏe định kỳ"," Tại Bệnh viện Đa khoa tỉnh Thanh Hóa, kết quả chụp sọ não phát hiện bệnh nhân có u tiểu não bên trái, kích thước 3x2 cm. Bác sĩ Lê Ngọc Biển, Trưởng khoa Phẫu thuật Thần kinh - Lồng ngực, cho biết đây là ca bệnh khó bởi khối u nằm ở vị trí sâu, phức tạp, đã xâm lấn vào thân não. Đặc biệt, khi nhập viện, người bệnh đã bị phù não, u chèn ép thần kinh và thân não, không thể đi lại được. ""Nếu phẫu thuật theo phương pháp mổ hở với đường mổ lớn để lấy khối u thì bệnh nhân có khả năng phải chịu di chứng nặng nề như liệt chân tay, tai biến. Do đó, chúng tôi quyết định mổ bằng kính vi phẫu"", bác sĩ Biển nói, hôm 4/4. Sau ba giờ phẫu thuật, ê kíp cắt bỏ và gỡ dính khối u ăn sâu vào các cấu trúc mạch máu thần kinh quan trọng, hạn chế tối đa tổn thương não cho người bệnh. Hiện, bệnh nhân tỉnh, tiếp xúc tốt, tay chân cử động bình thường. Bác sĩ Biển đánh giá phẫu thuật bằng kính vi phẫu mang lại nhiều lợi ích cho bệnh nhân như đường mổ nhỏ (khoảng 4 cm), trong khi phương pháp mổ hở với đường mổ lớn có thể hơn 10 cm. Kỹ thuật này cũng ít ảnh hưởng đến thần kinh, vận động, thời gian hậu phẫu và phục hồi sức khỏe nhanh. Tuy nhiên, đây là kỹ thuật rất khó vì phẫu trường chật hẹp, đường tiếp cận u khó khăn, do não là nơi có nhiều cấu trúc mạch máu thần kinh rất quan trọng, nếu kỹ thuật của các phẫu thuật viên không tốt, tỷ lệ tử vong trong mổ rất cao. Ngoài ra, để thực hiện được phẫu thuật này, bệnh viện cần đầu tư các trang thiết bị, phương tiện chẩn đoán hiện đại và đội ngũ nhân lực được đào tạo bài bản chuyên sâu. Bác sĩ khuyến cáo người dân nên khám sức khoẻ định kỳ để tầm soát và sớm phát hiện bệnh, do u tiểu não không thể phòng tránh. Lê Nga"
4589091,"Đề xuất đưa thuốc chữa hen, phổi vào danh mục BHYT tại trạm y tế",1700000563,1680590890,733,1680587270,"tp hcm, trạm y tế, đấu thầu thuốc, hen suyễn, bệnh phổi, bảo hiểm y tế"," Ngày 3/4, trả lời VnExpress, Giám đốc Sở Y tế Tăng Chí Thượng cho rằng ""số thuốc này chắc chắn sẽ giúp nâng cao tuổi thọ, giảm tỷ lệ tử vong cho người dân mắc các bệnh không lây nhiễm"". Tổ chức Y tế Thế giới (WHO) định nghĩa bệnh không lây nhiễm là bệnh mạn tính không lây từ người sang người, như đái tháo đường, tim mạch, phổi mạn tính, ung thư. Đây là những bệnh tiến triển trong thời gian dài và chậm, có xu hướng ngày càng tăng và trẻ hóa. Theo Sở Y tế, nhóm bệnh này khá phổ biến tại TP HCM và chiếm 70% số ca tử vong hàng năm. Do đó, Sở Y tế xác định đây là nhóm ưu tiên chăm sóc tại các trạm y tế. Khảo sát của Sở Y tế cho thấy hơn 80% người mắc các bệnh không lây nhiễm muốn được tái khám và nhận thuốc tại trạm y tế nếu đủ thuốc. Cuối năm ngoái, Bộ Y tế đã bổ sung nhiều loại thuốc BHYT cho người điều trị bệnh mạn tính tại trạm y tế. Tuy nhiên, một số thuốc cần thiết cho nhóm bệnh hen phế quản và các bệnh mạn tính ở phổi như phổi tắc nghẽn mạn tính (COPD) vẫn chưa có trong danh mục. Do đó, Sở tiếp tục kiến nghị Bộ Y tế sớm mở rộng danh mục thuốc cho nhóm bệnh này. ""Việc mở rộng danh mục thuốc khám chữa bệnh BHYT tại trạm y tế, nhất là các thuốc điều trị ngoại trú cho các bệnh không lây nhiễm là yêu cầu thực tiễn"", ông Thượng nói, thêm rằng đủ thuốc điều trị sẽ giúp người bệnh tiết kiệm chi phí đi lại, không phải di chuyển xa đến các bệnh viện quận, huyện. Hồi tháng 3, đánh giá tình hình cung ứng thuốc tại các trạm y tế được cơ quan Bảo hiểm xã hội ký hợp đồng khám chữa bệnh bảo hiểm y tế (BHYT), Sở Y tế kết luận một số nơi không đủ thuốc điều trị. Các trung tâm y tế như Tân Phú, Cần Giờ, Tân Bình, Gò Vấp, các quận 3, 5, 10 cung ứng tương đối đủ thuốc cho trạm trên địa bàn. Hầu hết trung tâm y tế còn lại đang gặp khó khăn trong đấu thầu thuốc do có trạm y tế ít người dân đến khám chữa bệnh nên nhu cầu sử dụng thuốc không nhiều, hoặc năng lực mua sắm đấu thầu thuốc của trung tâm dẫn đến không đủ cung ứng cho trạm y tế. Hiện nay, theo quy định, thuốc dùng cho tuyến y tế cơ sở được cung ứng qua nguồn thuốc phân bổ từ gói thầu tập trung cấp quốc gia, tập trung cấp địa phương (đấu thầu tập trung của thành phố) và gói thầu do các trung tâm y tế quận, huyện tự tổ chức thực hiện. Do năng lực đấu thầu của một số trung tâm yếu, Sở Y tế đề xuất UBND thành phố cho phép bổ sung các thuốc dùng tại trạm y tế vào danh mục đấu thầu tập trung cấp địa phương với danh mục thuốc mở rộng. Điều này có nghĩa là Sở Y tế sẽ tổ chức đấu thầu tập trung thay trung tâm y tế. Theo đại diện Sở, động thái này nhằm mục tiêu cung ứng đầy đủ thuốc thiết yếu cho trạm y tế, đảm bảo sự tương đồng với danh mục thuốc tuyến trên, qua đó người bệnh được quản lý điều trị tại trạm y tế sau khi được chẩn đoán và điều trị ổn định tại bệnh viện. Các đơn vị có thể bổ sung những loại thuốc khác cần thiết theo mô hình hoạt động và theo cơ cấu bệnh tật của người dân trên địa bàn, xây dựng nhu cầu mua sắm thuốc. Thời gian qua, Sở Y tế TP HCM đổi mới hoạt động trạm y tế theo nguyên lý y học gia đình như cải tạo nâng cấp cơ sở hạ tầng, tăng cường nhân lực chuyên môn, kết nối từ xa giữa các bác sĩ của trạm với các bác sĩ chuyên khoa của các bệnh viện thành phố."
4589218,Cách ăn giúp Sandra Bullock giữ dáng ở tuổi 58,1700000431,1680584370,654,1680581497,"giảm cân, giữ dáng, ăn kiêng, mỹ, sandra bullock, chế độ ăn giảm cân"," Ở độ tuổi ngũ tuần, nữ diễn viên Sandra Bullock vẫn giữ được vóc dáng khỏe khoắn, cân đối. Cô chia sẻ đã giảm thành công 6 kg nhờ phương pháp Zone Diet. Những ngôi sao khác như Jennifer Aniston, Madonna và Sarah Jessica Parker cũng sử dụng chế độ ăn này để duy trì cơ thể thon thả. Zone Diet được tiến sĩ Barry Sears, nhà hóa sinh người Mỹ, công bố năm 1995. Người ăn kiêng phải tuân thủ nghiêm ngặt tỷ lệ các chất dinh dưỡng đa lượng nạp vào cơ thể: 40% carbs (đường, tinh bột, chất xơ), 30% protein và 30% chất béo (40-30-30). Bằng phương pháp đó, người ăn sẽ kiểm soát được lượng đường trong máu và nội tiết tố để tránh các phản ứng viêm nhiễm. Ngăn ngừa phản ứng viêm cũng là mục tiêu cốt lõi của phương pháp Zone Diet. Về cơ bản, viêm là cách hệ thống miễn dịch bảo vệ cơ thể khỏi các chất lạ, xuất hiện hàng ngày trong không khí và thức ăn. Khi chứng viêm xảy ra, mô mỡ tăng lên. Viêm mạn tính khiến chất lạ và chất lỏng tích tụ lại ở tế bào mỡ ngày càng lớn dần gây tăng cân. Đánh giá khoa học xuất bản trên Thư viện Y tế Quốc gia Mỹ năm 2012 thậm chí gọi béo phì là ""tình trạng viêm mạn tính cấp độ thấp"". Khái niệm ""Zone"" trong Zone Diet chỉ trạng thái sinh lý, trong đó cơ thể sẵn sàng kiểm soát các chứng viêm. Bằng cách giữ vững trạng thái này, người ăn kiêng có thể giảm từ 0,5 đến 1 kg mỗi tuần. Để đạt được tỷ lệ 40-30-30, trong mỗi đĩa thức ăn, các loại thực phẩm giàu protein như lòng trắng trứng, cá, thịt gia cầm, thịt bò nạc hoặc sữa ít béo sẽ chiếm khoảng một phần ba. Phần còn lại là các loại rau nhiều màu sắc, trái cây. Bạn cần tránh sử dụng tinh bột tinh chế như bánh mỳ trắng, bánh ngọt hoặc các sản phẩm có nhiều đường như chuối, cà rốt, nho và nho khô. Mỗi đĩa thức ăn nên có một ít chất béo không bão hòa như dầu ô liu, quả bơ hoặc hạnh nhân. Reshmi Srinath, giáo sư trợ lý tại Trường Y khoa Icahn ở Mount Sinai, cho biết Zone Diet là phiên bản cải tiến của chế độ ăn kiêng low-carb. Trong đó, người ăn không nhất thiết từ bỏ hoàn toàn tinh bột. Tuy nhiên, Zone Diet yêu cầu hạn chế lượng calo, với mức khuyến nghị 1.200 calo mỗi ngày cho phụ nữ. Lịch trình ăn Zone Diet cũng khá nghiêm ngặt. Một người sẽ ăn ba bữa chính và hai bữa nhẹ, mỗi bữa cách nhau không quá 5 tiếng. Điều này rất quan trọng vì ""khi ăn nhiều bữa chính và bữa nhẹ, mọi người ít có cảm giác đói vào cuối ngày, ít thèm các loại thực phẩm chế biến sẵn có hại cho sức khỏe"", Fatima Cody Stanford, giảng viên y khoa tại Trường Y Harvard, giải thích. Ăn thường xuyên cũng giữ cho lượng đường trong máu ổn định, giúp tránh phản ứng viêm. Sandra Bullock, sinh năm 1964, là diễn viên kiêm nhà sản xuất phim nổi tiếng. Cô đóng phim từ thập niên 1980 và gây tiếng vang sau dự án hành động Speed (1994). Sau đó, minh tinh trở thành sao hạng A Hollywood với hàng loạt phim hài lãng mạn ăn khách như While You Were Sleeping (1995), Hope Floats (1998), Miss Congeniality (2000). Trong sự nghiệp, cô đoạt nhiều giải thưởng gồm Oscar, Quả Cầu Vàng, SAG và nhiều năm góp mặt trong danh sách những nữ diễn viên có cát-xê cao nhất thế giới. Thục Linh (Theo Insider, Women's Health Magazine)"
4589145,WHO: Cứ 6 người trên thế giới thì một bị vô sinh,1700000431,1680593847,542,1680577184,"vô sinh, hiếm muộn, sinh sản, who, quan hệ tình dục"," ""Trên toàn cầu, ước tính cứ 6 người thì có một bị ảnh hưởng bởi việc không thể có con vào một thời điểm nào đó trong đời, bất kể họ sống ở đâu và sở hữu tài nguyên nào"", Tổng giám đốc WHO Tedros Adhanom Ghebreyesus, cho biết. WHO định nghĩa vô sinh là bệnh của hệ thống sinh sản nam và nữ, được xác định khi việc thụ thai thất bại sau ít nhất 12 tháng quan hệ tình dục thường xuyên, không có biện pháp bảo vệ. Tình trạng một cặp vợ chồng chưa từng có con và không thể thụ thai gọi là vô sinh nguyên phát. Cặp vợ chồng từng có con nhưng không thể thụ thai thêm được gọi là vô sinh thứ phát. Như vậy, một người có thể gặp tình trạng vô sinh ít nhất một lần trong đời. Báo cáo được Tổ chức Y tế Thế giới (WHO) công bố ngày 3/4, phân tích các nghiên cứu thực hiện từ năm 1990 đến năm 2021. Đây là công trình đầu tiên của WHO về vô sinh trong một thập kỷ qua. Cụ thể, khoảng 17,8% người trưởng thành ở các nước thu nhập cao từng bị vô sinh ít nhất một lần trong đời. Con số tại các quốc gia thu nhập thấp và trung bình là 16,5%. Ông Tedros nói tỷ lệ này cho thấy thế giới cần mở rộng khả năng tiếp cận các dịch vụ chăm sóc sinh sản, đảm bảo vấn đề này không còn bị bỏ qua trong chính sách và các nghiên cứu y tế. Báo cáo của WHO nhấn mạnh sự cần thiết của hoạt động thu thập và chia sẻ các dữ liệu nhất quán liên quan đến vô sinh, phân tách theo độ tuổi và nguyên nhân, thông tin về những người cần điều trị sinh sản. Tuy nhiên, James Kiarie, người đứng đầu bộ phận Tránh thai và Chăm sóc Khả năng sinh sản WHO, cho biết chưa có bằng chứng cho thấy tỷ lệ vô sinh gia tăng kể từ năm 1990 đến năm 2021. ""Dựa trên dữ liệu sẵn có, chúng tôi không thể khẳng định số ca vô sinh đang gia tăng hay ổn định. Nghiên cứu chưa trả lời được câu hỏi đó"", ông nói. Với nam giới, nguyên nhân phổ biến nhất dẫn đến vô sinh là các vấn đề trong quá trình phóng tinh. Đàn ông không có hoặc có ít tinh trùng, tinh trùng có hình thái hoặc chuyển động bất thường. Ở nữ giới, vô sinh do một loạt vấn đề từ buồng trứng, tử cung, ống dẫn trứng và hệ thống nội tiết. Đôi khi, các bác sĩ không thể xác định nguyên nhân vô sinh. Chăm sóc khả năng sinh sản bao gồm việc phòng ngừa, chẩn đoán và điều trị vô sinh. Tiếp cận điều trị bình đẳng và công bằng với dịch vụ này vẫn là một thách thức ở hầu hết quốc gia, đặc biệt là ở các nước có thu nhập thấp và trung bình. Chăm sóc sinh sản hiếm khi được ưu tiên trong các gói quyền lợi bảo hiểm y tế toàn dân. Thục Linh (Theo Reuters, WHO)"
4589077,Có nên thay bữa sáng bằng uống mật ong pha nước ấm?,1700000323,1680595207,278,1680574286,"mật ong, bữa sáng, chế độ ăn uống, giảm cân, thanh lọc cơ thể"," Trả lời: Bỏ ăn sáng, chỉ uống mật ong pha nước ấm là thói quen của nhiều người, bởi cho rằng mật ong cung cấp nhiều năng lượng, tương đương với các thực phẩm khác. Tuy nhiên, đây là cách ăn kiêng không khoa học. Mật ong có lượng đường khá cao. Theo bảng thành phần thực phẩm Việt Nam, trong 100 gram mật ong có 81,3 g đường, khi vào cơ thể sẽ nhanh chóng được tiêu hóa, khiến lượng đường tăng đột biến, sau đó lại giảm nhanh, khiến cơ thể tăng cảm giác đói. Từ đó, bạn có xu hướng ăn nhiều hơn, dễ tăng cân. Mọi người có thể uống nước ấm pha mật ong vào buổi sáng giúp bảo vệ dạ dày, đánh thức hệ tiêu hóa hoạt động, nhưng sau đó vẫn cần ăn sáng. Nếu không ăn, cơ thể sẽ thừa đường, thiếu nhiều chất dinh dưỡng cần thiết như tinh bột, chất béo, protein hay chất xơ, ảnh hưởng tới sức khỏe về sau. Bên cạnh đó, mật ong cũng không khuyến cáo cho người muốn giảm cân. Các khuyến nghị đều cho rằng một người nên dùng 5 ml mật ong một ngày, đồng thời hạn chế các sản phẩm chứa đường như bánh kẹo, nước ngọt. Nhìn chung, mật ong là thực phẩm tốt cho cơ thể, có nhiều công dụng như chữa ho, làm đẹp. Tuy nhiên, khi sử dụng, bạn nên chọn mua mật ong nguyên chất, pha loãng với tỷ lệ một thìa cà phê (5ml) với 150 ml nước ấm. Tiến sĩ, bác sĩ Nguyễn Trọng Hưng Trưởng khoa Khám tư vấn dinh dưỡng người lớn, Viện dinh dưỡng Quốc gia"
4588642,Phát hiện ung thư tụy từ dấu hiệu sụt cân,1700000373,1680569566,364,1680563700,"quảng ninh, ung thư tụy, ung thư"," Ngày 3/4, bác sĩ Phạm Việt Hùng, Trưởng khoa Ngoại, Bệnh viện Đa khoa tỉnh Quảng Ninh, cho biết bệnh nhân có khối ung thư vùng đầu tụy làm tắc tá tràng. Khoảng một năm trước, bệnh nhân từng bị tắc mật do giãn đường mật, đã phẫu thuật nối mật ruột. Gần đây, bà đau tức bụng, nôn nhiều sau ăn, sút cân. Theo bác sĩ Hùng, ca phẫu thuật cho bệnh nhân sẽ khó khăn do phải cắt nhiều bộ phận, như đầu tụy tá tràng, đường mật và một phần dạ dày. Người bệnh từng phẫu thuật nên can thiệp càng thêm phức tạp do dính, phải gỡ bỏ các miệng nối cũ. Sau hội chẩn, bác sĩ quyết định phẫu thuật cắt khối tá tụy, nạo vét toàn bộ hạch trong ổ bụng, cắt ghép các mạch máu, sau đó truyền hóa chất điều trị. Ung thư tụy là dạng ung thư biểu mô liên quan đến các tế bào tuyến tụy, một cơ quan nội tiết quan trọng nằm phía sau dạ dày, gần túi mật. Theo thống kê của Tổ chức Y tế thế giới (WHO) năm 2020, ung thư tụy đứng thứ 13 trong các loại ung thư, với gần 500.000 ca mắc mới, tỷ lệ tử vong đứng thứ 7 với hơn 466.00 người. Bác sĩ khuyên mọi người nên chủ động tầm soát sức khỏe định kỳ. Nhóm nguy cơ cao như hút thuốc lá, viêm tụy mạn, đái tháo đường hoặc có người trong gia đình mắc bệnh, nên chủ động khám định kỳ 6 tháng một lần để tầm soát. Minh An"
